language,variation,n,mean,95ci_lo,95ci_hi,vs_baseline_drop,welch_t,p_vs_baseline,cohen_d,effect
Danish,Word order,40,0.2506,0.2443,0.2569,-0.0039,-1.126,0.26477652743532154,-0.181,insignificant
Danish,Synonym,40,0.2432,0.2374,0.2491,0.0034,1.048,0.29846155031811217,0.16,insignificant
Danish,Typos,40,0.251,0.2415,0.2604,-0.0043,-0.873,0.38724151237693927,-0.183,insignificant
Danish,Phrasing,40,0.2422,0.2363,0.2481,0.0045,1.356,0.1797856940428794,0.208,small
Danish,Keyword,40,0.2343,0.2266,0.2421,0.0123,2.983,0.004309492809177518,0.55,medium
English,Word order,40,0.2886,0.2817,0.2955,0.0041,1.091,0.27957852879096734,0.18,insignificant
English,Synonym,40,0.2875,0.2807,0.2944,0.0052,1.385,0.17130572482184966,0.226,small
English,Typos,40,0.2911,0.2838,0.2985,0.0016,0.399,0.6915915726120924,0.068,insignificant
English,Phrasing,40,0.287,0.2822,0.2917,0.0058,2.002,0.04862419821498298,0.26,small
English,Keyword,40,0.2803,0.2727,0.2878,0.0125,3.048,0.00352941909472691,0.534,medium
