ID,Subject,Evaluation_Type,Prompt,Seed,CLIP_Score,clip_own_repro,clip_vs_enref
1,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,93810,0.2681,0.2681,0.2259
2,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,24592,0.2581,0.2581,0.1562
3,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,13278,0.2319,0.2319,0.2411
4,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,46048,0.2268,0.2268,0.2549
5,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,42098,0.256,0.256,0.1555
6,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,39256,0.2569,0.2569,0.1007
7,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,28289,0.2353,0.2353,0.2552
8,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,23434,0.2242,0.2242,0.2838
9,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,98696,0.2415,0.2415,0.2311
10,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,81482,0.276,0.276,0.2328
11,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,21395,0.2718,0.2718,0.1613
12,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,87397,0.2595,0.2595,0.2319
13,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,65302,0.2317,0.2317,0.2679
14,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,14165,0.2407,0.2407,0.2593
15,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,13905,0.2286,0.2286,0.2628
16,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,22280,0.2329,0.2329,0.2664
17,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,38657,0.2544,0.2544,0.2449
18,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,40495,0.2438,0.2438,0.2633
